latent_dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,correlations_dis_train
1,,0.7411773204803467,-0.04616698622703552,0.6860658168792725,,,0.15675675675675677,0.2047561233108108,0.29063168087521113,0.41081081081081083,0.001,1.0,0.0001,2.7182659619563334,0.4345191632573669,0.330345929474444,0.8363257050514221
2,,0.8972122073173523,-0.03621371388435364,0.7970871925354004,,,1.0,0.004700471259452201,0.05217491356102196,1.0,0.001,1.0,0.0001,0.00900002258729089,0.004323871821995724,0.1518921304393459,0.9431824088096619
3,,0.9611765742301941,-0.011499855667352676,0.9222649574279785,,,1.0,0.0017657041549682616,0.0280403910456477,1.0,0.001,1.0,0.0001,0.0007551964966271928,0.002110227113400863,0.055003442474313685,1.1694015264511108
4,,0.9906810522079468,-0.009157714992761612,0.9872922897338867,,,1.0,0.0006551409089887465,0.018642654934444943,1.0,0.001,1.0,0.0001,0.0002882829200668336,0.0011362709935653853,0.012720582452980248,1.2340627908706665
5,,0.99485182762146,-0.01977684199810028,0.9906181335449219,,,1.0,0.0006779114136824737,0.019737349329768,1.0,0.001,1.0,0.0001,0.00020507294283487608,0.004471271273654861,0.006918033232560029,1.2388135194778442
6,,0.9948338270187378,-0.025125813484191895,0.9692352294921875,,,1.0,0.0011853814125061036,0.026787273303882496,1.0,0.001,1.0,0.0001,0.0005527910014623902,0.001613955807909873,0.014304525143391377,1.23135507106781
7,,0.9875880479812622,-0.016839605569839478,0.9815732002258301,,,1.0,0.0012261665350682027,0.026060890507053684,1.0,0.001,1.0,0.0001,0.0006050161838002905,0.0007554093585034983,0.01571241101703128,1.2303907871246338
8,,0.9939238429069519,-0.023398979008197783,0.9903672218322754,,,1.0,0.0011008494609111065,0.025507963025892103,1.0,0.001,1.0,0.0001,0.00037716807678776066,0.0006295562225450585,0.010251391578365016,1.2405341863632202
9,,0.9950644373893738,-0.011104202270507813,0.9880002975463867,,,1.0,0.0003751692336958808,0.0127636870822391,1.0,0.001,1.0,0.0001,0.0002038655523368082,0.0021216560853645205,0.01293850428349263,1.2380520105361938
10,,0.9909951686859131,-0.007176823914051056,0.9748932838439941,,,1.0,0.001804891470316294,0.03222513456602354,1.0,0.001,1.0,0.0001,0.000974604273938599,0.040089420798058446,0.02123508501697231,1.2306022644042969
11,,0.9917680621147156,-0.03175694048404694,0.9828282356262207,,,1.0,0.0008950233459472656,0.022894647959116343,1.0,0.001,1.0,0.0001,0.000253095938525213,0.0030051053098931507,0.008755465617050996,1.2381892204284668
12,,0.9948590993881226,-0.02466736137866974,0.9913776397705079,,,1.0,0.0007182909024728311,0.021080885706721127,1.0,0.001,1.0,0.0001,0.0002827562774827301,0.0015768938409982602,0.008777737617492676,1.2397805452346802
13,,0.9922351837158203,-0.02324073314666748,0.98623685836792,,,1.0,0.0007117493732555492,0.016608111922805372,1.0,0.001,1.0,0.0001,0.00039268966753985986,0.004374587892655384,0.013141842307271185,1.23683762550354
14,,0.9947001934051514,-0.021256041526794434,0.9923492431640625,,,1.0,0.0005487042504387933,0.017369417242101722,1.0,0.001,1.0,0.0001,0.0004777667353345031,0.0006035521163957546,0.006986755777049709,1.2402228116989136
15,,0.9936743378639221,-0.036860343813896176,0.988833236694336,,,1.0,0.0009677788695773563,0.021563692350645324,1.0,0.001,1.0,0.0001,0.0005944639244164038,0.002641671507090733,0.0104944287119685,1.2315751314163208
16,,0.9901107549667358,-0.029388096928596497,0.9791495323181152,,,1.0,0.0012220147493723276,0.02363347491702518,1.0,0.001,1.0,0.0001,0.001151166723355198,0.0022527624292903252,0.01888561812607018,1.2277448177337646
1,,0.7647883892059326,0.01835694909095764,0.6807049751281739,,,0.19864864864864865,0.4159742613096495,0.4585061975427576,0.5056306306306306,0.001,1.0,0.0001,2.5067692962852686,0.41597425635602026,0.23830265370575157,0.9148070216178894
2,,0.7734624147415161,-0.012825645506381989,0.7474802494049072,,,1.0,0.0029886078190159153,0.0413932027043523,1.0,0.001,1.0,0.0001,0.030697472934686654,0.026970875852212712,0.20318230422767433,0.9779446721076965
3,,0.9739663600921631,0.002061332203447819,0.9616060256958008,,,1.0,0.0026422687478967616,0.03470216957298485,1.0,0.001,1.0,0.0001,0.0072533191402751095,0.015138927573413664,0.04462293193146989,1.190601110458374
4,,0.9897693395614624,-0.0013730768114328384,0.9820767402648926,,,1.0,0.0006950446077295251,0.018598610646015888,1.0,0.001,1.0,0.0001,0.0006630219687468599,0.0020635823791569754,0.017772040657095006,1.2297158241271973
5,,0.9929465651512146,-0.030178409814834595,0.9908639907836914,,,1.0,0.0006951559234309841,0.020006105062123893,1.0,0.001,1.0,0.0001,0.003819814577680616,0.001589113358735434,0.004329256914757393,1.2402336597442627
6,,0.9930955171585083,-0.042209464311599734,0.9846221923828125,,,1.0,0.0007473227140065786,0.020005250621486354,1.0,0.001,1.0,0.0001,0.0007196757258104815,0.0017784318557902668,0.014604083589605382,1.2334082126617432
7,,0.9890571236610413,-0.03500374555587769,0.9861021995544433,,,1.0,0.0008136338478810078,0.0191237887820682,1.0,0.001,1.0,0.0001,0.0004315900624606985,0.001492527755594032,0.012137074728269834,1.2330896854400635
8,,0.9941636919975281,-0.01128014326095581,0.9871562004089356,,,1.0,0.0005190116730896203,0.016333956331820103,1.0,0.001,1.0,0.0001,0.00040957467993123556,0.0006762414559489116,0.014442883633278511,1.2354846000671387
9,,0.9946945309638977,-0.044867485761642456,0.9901771545410156,,,1.0,0.0007044514288773408,0.01624321293186497,1.0,0.001,1.0,0.0001,0.0005529447977047263,0.0011951960159176205,0.00798052629909,1.2384943962097168
10,,0.99615079164505,-0.005717062950134277,0.9864262580871582,,,1.0,0.002256508936753144,0.03458089055241765,1.0,0.001,1.0,0.0001,0.00023023733337066842,0.0008719642819660539,0.012427782690202867,1.2352612018585205
11,,0.9906238317489624,-0.031898286938667295,0.9879927635192871,,,1.0,0.001611528525481353,0.027760044304100243,1.0,0.001,1.0,0.0001,0.0002868069619777285,0.0011088312509142466,0.010366597691097774,1.2356350421905518
12,,0.992785632610321,0.006055633351206779,0.9879911422729493,,,1.0,0.0005459416959736798,0.016445795265403955,1.0,0.001,1.0,0.0001,0.000388910791583397,0.00168209160619881,0.009257589643065995,1.234039068222046
13,,0.9947658777236938,-0.03252488672733307,0.9925318717956543,,,1.0,0.0004435419230847745,0.0162543451463854,1.0,0.001,1.0,0.0001,0.00027240073757491554,0.002280194958911051,0.006027466542011983,1.2388211488723755
14,,0.9940659999847412,-0.03202442824840546,0.9859988212585449,,,1.0,0.0006934194145975886,0.01843230402147448,1.0,0.001,1.0,0.0001,1.3345699946622591,0.15789024521772926,0.07269240794955073,1.218666434288025
15,,0.9963914752006531,-0.014194045960903168,0.9926443099975586,,,1.0,0.0006274694526517714,0.019407099646490972,1.0,0.001,1.0,0.0001,0.00019720467497717363,0.004120409658581421,0.005442856936841397,1.2420450448989868
16,,0.994396448135376,-0.02950161397457123,0.9923243522644043,,,1.0,0.0005936595233711037,0.019327814514572557,1.0,0.001,1.0,0.0001,0.0002851307750412112,0.010804516681772028,0.007266951573861612,1.240179419517517
