latent_dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence
32,,0.9372802972793579,-0.04075482487678528,0.9213689804077149,,,1.0,0.009140961879008525,0.07681214616105363,1.0,0.001,1.0,0.0001,0.000536823836768776,0.008180925364580911,0.09165068816494297,1401.0442917282517
64,,0.9032774567604065,-0.051930052042007444,0.9088831901550293,,,1.0,0.014628867845277529,0.09615684715477196,1.0,0.001,1.0,0.0001,0.0003773886271881418,0.01802557793672423,0.09078910463565104,1739.8355580922719
128,,0.90440833568573,-0.053640472888946536,0.8680121421813964,,,0.9986486486486487,0.013724555195988836,0.08579540768185177,0.9990990990990991,0.001,1.0,0.0001,0.004979226019885745,0.018920472672058118,0.13391041433489,2225.790147936022
32,,0.9421399235725403,-0.02505188584327698,0.92275972366333,,,1.0,0.010179395933408995,0.07980529682056324,1.0,0.001,1.0,0.0001,0.005712423738333274,0.015369947911617724,0.08240842577573415,1743.2566594304265
64,,0.9226039052009583,-0.04599147140979767,0.9032161712646485,,,0.9986486486486487,0.016390805631070524,0.1009637265592008,0.9997747747747747,0.001,1.0,0.0001,0.0011098442187790784,0.03616757867102687,0.09104223025811685,1969.5790520745354
128,,0.8732423782348633,-0.05320595502853394,0.8536827087402343,,,0.9986486486486487,0.02012810320467562,0.11151372548696158,0.9990990990990991,0.001,1.0,0.0001,0.016413014382099366,0.02153769582258286,0.14052229475330663,2106.5792681719804
32,,0.9368297457695007,-0.01937808245420456,0.9197610855102539,,,0.9986486486486487,0.00699996432742557,0.0664569803186365,0.9988738738738738,0.001,1.0,0.0001,0.008647953412995825,0.020831689024595795,0.06877027331171809,1555.9578428526183
64,,0.9007872343063354,-0.0459058940410614,0.8975164413452148,,,0.9986486486486487,0.008074000075056747,0.0704028877052101,0.9990990990990991,0.001,1.0,0.0001,0.0011563377461612076,0.01708347472437733,0.09484476253793046,1548.6956605653504
128,,0.901046097278595,-0.035260322690010074,0.8707191467285156,,,0.9986486486486487,0.014020000921713339,0.09252010036159206,0.9990990990990991,0.001,1.0,0.0001,0.0014317733762992076,0.02519176047093965,0.12999244638391444,2243.5022747967696
32,,0.9397627115249634,-0.03166325688362122,0.9304099082946777,,,1.0,0.01140936516426705,0.08426479133399757,1.0,0.001,1.0,0.0001,0.01903844382959997,0.008744420848686147,0.07370193906732507,1365.347258696685
64,,0.9196115136146545,-0.056884127855300906,0.8821717262268066,,,0.9986486486486487,0.012269121891743428,0.08902016717034417,0.9986486486486487,0.001,1.0,0.0001,0.0004889190343886652,0.012723332736641169,0.11050751724758663,1550.253851813239
128,,0.9041623473167419,-0.04114008545875549,0.8784222602844238,,,0.995945945945946,0.011729455638576199,0.08402695011448216,0.9981981981981982,0.001,1.0,0.0001,0.005400486818256763,0.02476085740066058,0.13461486632759506,2813.743561615815
32,,0.9380090236663818,-0.04117963910102844,0.9219444274902344,,,0.9972972972972973,0.009671661016103384,0.07789830903749208,0.9984234234234234,0.001,1.0,0.0001,0.0006295016717902743,0.010407600230914919,0.07717157537872726,1325.2297957136825
