latent_dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence
1,,0.80449378490448,0.01199638843536377,0.6750213623046875,,,0.2527027027027027,0.41101288666596286,0.446237512536951,0.5087837837837837,0.001,1.0,0.0001,2.705281025654561,0.295389226562268,0.29549508481412323,373.9200732256915
2,,0.915866494178772,-0.0343725323677063,0.8521809577941895,,,1.0,0.007524748106260557,0.06896374676678632,1.0,0.001,1.0,0.0001,0.017273509572889353,0.011075874085764627,0.1775032708773742,646.8887077537743
3,,0.9689326882362366,-0.01269116997718811,0.9552374839782715,,,1.0,0.007706784557651829,0.06870681144095755,1.0,0.001,1.0,0.0001,0.0020864399333289396,0.02165731350966805,0.0370207163127693,727.010669605152
4,,0.9675588011741638,-0.03317265808582306,0.9583538055419922,,,1.0,0.006530411179001267,0.06374379750844594,1.0,0.001,1.0,0.0001,0.004645401483808323,0.11888324147140658,0.052568522659507955,902.2042277568096
5,,0.9770981669425964,-0.02703123092651367,0.9565184593200684,,,1.0,0.005190059945390031,0.05692950583793022,1.0,0.001,1.0,0.0001,0.014726603589863501,0.010897214165762873,0.04248452911505828,869.5570216823269
6,,0.9603636860847473,-0.034694111347198485,0.9532853126525879,,,1.0,0.006285406447745659,0.06177726951805321,1.0,0.001,1.0,0.0001,0.0014133976597017987,0.007885623396047065,0.04536673184987661,795.5553918786951
7,,0.9648579955101013,-0.028946098685264588,0.9629827499389648,,,1.0,0.00793734176738842,0.0697868656467747,1.0,0.001,1.0,0.0001,0.0332467056200462,0.027151214135055605,0.0405394289944623,1131.88723507443
8,,0.9676241278648376,-0.025725668668746947,0.9574160575866699,,,1.0,0.007761291555456213,0.07032641849002323,1.0,0.001,1.0,0.0001,0.0031462116752958833,0.013241679105605628,0.046677467790809835,995.5987482844172
9,,0.955369770526886,-0.049842774868011475,0.9496179580688476,,,1.0,0.008819614874350058,0.07647680334142737,1.0,0.001,1.0,0.0001,0.002635323599246771,0.00816701611227079,0.04899429147307937,999.0479158968539
10,,0.965617835521698,-0.02960435748100281,0.9548698425292969,,,1.0,0.009221655613667256,0.0763939161558409,1.0,0.001,1.0,0.0001,0.004201341726395578,0.021796276918738276,0.034606970645285944,1262.3944355732685
11,,0.9613934755325317,-0.01859734207391739,0.9445788383483886,,,0.9986486486486487,0.00921669779597102,0.07601089477539062,0.9990990990990991,0.001,1.0,0.0001,0.0004271091355976013,0.008559712617834276,0.05763003713375813,1117.4180322595544
12,,0.9586440920829773,-0.036068189144134524,0.9436194419860839,,,1.0,0.012801727088722023,0.0896947396768106,1.0,0.001,1.0,0.0001,0.00035669119210364735,0.01203648338245379,0.055621133462802785,1128.147668786951
13,,0.9563753604888916,-0.01393144130706787,0.9439802169799805,,,1.0,0.006784312789504593,0.06557688326449007,1.0,0.001,1.0,0.0001,0.0013224950053955654,0.00825072334752091,0.0564185115131172,1154.5941582757073
14,,0.9628012180328369,-0.02482334226369858,0.9441152572631836,,,1.0,0.00780717488881704,0.07035622983365446,1.0,0.001,1.0,0.0001,0.00042426797618473584,0.007807174401760504,0.03697469427778914,1240.7163168417442
15,,0.9536262154579163,-0.005952741205692291,0.9433186531066895,,,1.0,0.012552216246321395,0.08725273544723923,1.0,0.001,1.0,0.0001,0.0012256482272327098,0.009070274111739284,0.05716825659210618,1223.5227034285263
16,,0.9590165019035339,-0.011003787070512772,0.9432100296020508,,,1.0,0.006349033922762484,0.061057415524044555,1.0,0.001,1.0,0.0001,0.003408266192708824,0.03284373187233467,0.050709050249409034,1280.7842621674408
1,,0.7964289784431458,0.0035501688718795775,0.7246190071105957,,,0.30675675675675673,0.5534906335779138,0.5621845967060811,0.5371621621621622,0.001,1.0,0.0001,2.0849230547209046,0.9250444028828595,0.2626117886723699,406.1476935309333
2,,0.8656443953514099,-0.027686303853988646,0.7872476577758789,,,1.0,0.007388306952811576,0.06627115301183752,1.0,0.001,1.0,0.0001,0.012631036378946659,0.007369374013128313,0.22610080644891067,654.2385348758182
3,,0.9530347585678101,-0.02236950695514679,0.9413033485412597,,,1.0,0.009995965699891786,0.07632570008973817,1.0,0.001,1.0,0.0001,0.0016080864604461837,0.009692410944734473,0.06609369774122496,637.6465602565456
4,,0.976960301399231,-0.005530082806944847,0.9631661415100098,,,1.0,0.010787195772738071,0.08312257818273595,1.0,0.001,1.0,0.0001,0.0007121998852518438,0.012371014300230387,0.04119840989241729,812.7329324258341
5,,0.9691177606582642,-0.008155535161495208,0.9673430442810058,,,1.0,0.01001023988466005,0.07705249270877322,1.0,0.001,1.0,0.0001,0.0005622799829792269,0.010341807998515464,0.03234781687324111,927.781526307802
6,,0.9671590924263,-0.05031980872154236,0.963686180114746,,,1.0,0.00904461499806997,0.07393421482395482,1.0,0.001,1.0,0.0001,0.003451713071380918,0.008759969625168958,0.03718311561120523,878.415495176573
7,,0.9691611528396606,-0.02492609918117523,0.9597444534301758,,,0.9986486486486487,0.007359558182793695,0.06601306296683647,0.9988738738738738,0.001,1.0,0.0001,0.0009920633855398518,0.006042732492189955,0.03986926658733471,876.4616229083088
8,,0.9656546115875244,-0.013867999613285064,0.9579338073730469,,,1.0,0.006613164979058343,0.0637947804219014,1.0,0.001,1.0,0.0001,0.005062726308981812,0.011316235290487876,0.04155568738241453,989.6894753945841
9,,0.9709416627883911,-0.03644589781761169,0.9579687118530273,,,0.9986486486486487,0.007575758083446606,0.0685817409206081,0.9988738738738738,0.001,1.0,0.0001,0.00048673674592231,0.010821124771609902,0.03681083063821535,1214.8112867200696
10,,0.9665890336036682,-0.017940738797187807,0.9478276252746582,,,1.0,0.010285837585861619,0.08145009633657095,1.0,0.001,1.0,0.0001,0.00033160768869591365,0.009078462752891151,0.04657707504324011,1147.7301421294342
11,,0.9589859843254089,-0.004030494764447212,0.9549237251281738,,,1.0,0.010453135258442646,0.08250109182821738,1.0,0.001,1.0,0.0001,0.00010055196309769747,0.007523848605971481,0.05289160883104479,1171.7656579919762
12,,0.9619773030281067,-0.024703575670719145,0.9453814506530762,,,1.0,0.007878503283938847,0.06917361697635135,1.0,0.001,1.0,0.0001,0.00043425598542435673,0.004650579413046708,0.04510933805156399,1039.7692310230152
