latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,learning_rate,correlation_dis reonstructed equations,valid reconstructed equations
16,-0.15261562168598175,0.279061496257782,-0.15101248025894165,0.2843366861343384,92,0.2916666666666667,0.0,0.07837897936503092,0.21654399236043295,1e-05,0.0,0.0
16,-0.14641840755939484,0.2225937396287918,-0.15347750186920167,0.2800573825836182,57,0.7569444444444444,0.31666666666666665,0.0006297184154391289,0.018909327189127603,0.0001,0.33784881234169006,7.0
16,-0.14522860944271088,0.7251033782958984,-0.11879223585128784,0.7275156021118164,74,0.9986111111111111,0.9916666666666667,0.0015826967855294546,0.03317415912946065,0.001,0.9159780740737915,12.0
16,-0.16186361014842987,0.5497002601623535,-0.17404669523239136,0.48754115104675294,22,0.9430555555555555,0.6916666666666667,0.24185682932535807,0.3986286799112956,0.01,0.8137533068656921,7.0
16,-0.2334560602903366,0.12980054318904877,-0.227936315536499,0.24275448322296142,80,0.9152777777777777,0.5916666666666667,0.1963912804921468,0.3443638801574707,0.1,0.6439797878265381,7.0
16,-0.15333814918994904,0.23623307049274445,-0.15101574659347533,0.30213663578033445,13,0.33055555555555555,0.0,0.18103408813476562,0.31304295857747394,1e-05,,7.0
16,-0.14852887392044067,0.39748623967170715,-0.1716611862182617,0.36814022064208984,24,0.8305555555555556,0.3416666666666667,0.0015238508582115172,0.03154138326644897,0.0001,0.13166199624538422,19.0
16,-0.1521228700876236,0.5640516877174377,-0.12750943899154663,0.5945452690124512,47,0.9902777777777778,0.9666666666666667,0.00021692500449717046,0.01018630067507426,0.001,0.9267830848693848,13.0
16,-0.18627285957336426,0.3121558725833893,-0.19693224430084227,0.33720128536224364,84,0.9944444444444445,0.9666666666666667,0.0188995361328125,0.11017785867055258,0.01,0.608077347278595,14.0
16,-0.10049011558294296,0.21047168970108032,-0.17816433906555176,0.24358875751495362,31,0.9152777777777777,0.6166666666666667,0.12648547490437825,0.2769393603006999,0.1,0.47625306248664856,21.0
16,-0.14289744198322296,0.5102391839027405,-0.13548861742019652,0.5278422832489014,1,0.2875,0.008333333333333333,0.16750701268513998,0.30361003875732423,1e-05,0.0,0.0
16,-0.1480553150177002,0.5244410634040833,-0.14500157833099364,0.5424898624420166,56,0.8236111111111111,0.36666666666666664,0.001188055674235026,0.02687890926996867,0.0001,0.7187314033508301,7.0
16,-0.06796956062316895,0.5603739023208618,-0.05746849775314331,0.7126691818237305,57,0.9875,0.95,2.2344960598275065e-05,0.0037408843636512756,0.001,0.6142769455909729,19.0
16,-0.07202112674713135,0.7662734985351562,-0.09588834047317504,0.6748291015625,75,0.975,0.8666666666666667,0.007523541649182637,0.06616119146347046,0.01,0.680168867111206,16.0
16,-0.1908932328224182,0.03562385216355324,-0.19431493282318116,0.09937171936035157,55,0.9472222222222222,0.75,0.21438013712565104,0.34586207071940106,0.1,0.4639251232147217,12.0
16,-0.14940015971660614,0.4715530574321747,-0.09792724251747131,0.4279648780822754,72,0.33055555555555555,0.0,0.2096766471862793,0.3146399180094401,1e-05,0.0,0.0
16,-0.1829637885093689,0.4855543076992035,-0.14218502044677733,0.4443092346191406,69,0.8597222222222223,0.4,0.0008673503994941712,0.022331535816192627,0.0001,0.21514378488063812,27.0
