latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence,correlation_dis reonstructed equations,learning_rate,valid reconstructed equations
16,-0.2415120154619217,0.12471789121627808,-0.17807234525680543,0.13512320518493653,0,0.3125,0.016666666666666666,0.2023650805155436,0.31435950597127277,0.001,2.4663286606470742,0.20236508175730705,0.8791099091370901,208.1819928487142,,1e-05,0.0
16,-0.1862325668334961,0.30941978096961975,-0.13940292596817017,0.40155978202819825,96,0.625,0.08333333333333333,0.031738082567850746,0.14146849314371746,0.001,1.1866449614365895,0.03173808489615718,0.6481571992238363,411.77184041341144,0.5482196807861328,0.0001,3.0
16,-0.16460739076137543,0.6040835976600647,-0.1629498243331909,0.6212208271026611,55,0.9222222222222223,0.6166666666666667,0.020788955688476562,0.11346579392751058,0.001,0.21290742109219232,0.020788955657432478,0.46080248057842255,696.577382405599,0.566253662109375,0.001,12.0
16,-0.11813938617706299,0.7475972175598145,-0.13150712251663207,0.6316373348236084,44,0.9416666666666667,0.7166666666666667,0.01990383267402649,0.11185961564381917,0.001,0.18953358692427477,0.019903833822657663,0.2937509963909785,726.5090993245443,0.7815511226654053,0.01,10.0
16,,,,,0,0.034722222222222224,0.0,,,0.001,,,,,0.0,0.1,0.0
16,-0.15652398765087128,0.1544903665781021,-0.21040627956390381,0.13096340894699096,70,0.3486111111111111,0.008333333333333333,0.20092099507649738,0.35681060155232747,0.001,2.4112123449643454,0.20092100153366724,0.9016090134779612,194.36100133260092,,1e-05,3.0
16,-0.1502751260995865,0.1391485333442688,-0.15699816942214967,0.13146212100982665,28,0.6125,0.05,0.03867212931315104,0.16212132771809895,0.001,1.2307917177677155,0.038672128381828465,0.8858797252178192,419.0591557820638,0.5007511377334595,0.0001,12.0
16,-0.09627840667963028,0.3498562276363373,-0.09326400756835937,0.4361132621765137,47,0.9291666666666667,0.6666666666666666,0.025325977802276613,0.1324681520462036,0.001,0.19218835855523744,0.02532597864046693,0.6148713628451029,782.0974426269531,0.5031835436820984,0.001,11.0
16,-0.1260683685541153,0.514259397983551,-0.13415310382843018,0.4079559803009033,17,0.8958333333333334,0.6083333333333333,0.025476996103922525,0.11764561335245768,0.001,0.6999979801476002,0.025476995234688122,0.5707532515128454,736.9925028483073,0.020028863102197647,0.01,20.0
16,,,,,0,0.0375,0.0,,,0.001,,,,,0.0,0.1,0.0
16,-0.14407308399677277,0.35537540912628174,-0.14755572080612184,0.24827537536621094,9,0.3375,0.0,0.177312437693278,0.31837231318155923,0.001,2.431645174821218,0.17731244365374246,0.6726856529712677,228.3999989827474,1.0,1e-05,5.0
16,-0.16490261256694794,0.3474520444869995,-0.10605752468109131,0.4227616310119629,8,0.6527777777777778,0.10833333333333334,0.02627265453338623,0.12650724252065024,0.001,1.149947961171468,0.026272652205079794,0.6397525320450465,442.34448496500653,0.5155928134918213,0.0001,8.0
16,-0.11530604213476181,0.6134483218193054,-0.10078014135360717,0.6074399948120117,66,0.9138888888888889,0.6,0.026020169258117676,0.12673164208730062,0.001,0.23524118711551031,0.02602017034466068,0.44320577879746753,686.5573323567709,0.2847205102443695,0.001,19.0
16,-0.14903293550014496,0.4309411346912384,-0.1612155556678772,0.6011215686798096,84,0.9333333333333333,0.6833333333333333,0.03550493319829305,0.14685179392496744,0.001,0.19966738174359003,0.0355049348436296,0.568726991613706,759.8706614176432,0.21263223886489868,0.01,18.0
16,,,,,0,0.05416666666666667,0.0,,,0.001,,,,,0.0,0.1,0.0
16,-0.23872357606887817,0.3095085918903351,-0.185394024848938,0.22687482833862305,58,0.29305555555555557,0.0,0.1807003339131673,0.34548556009928383,0.001,2.4335325956344604,0.18070033440987268,0.7546242475509644,201.65310541788736,-0.03236914053559303,1e-05,56.0
16,-0.20711946487426758,0.37057459354400635,-0.1618918776512146,0.3971437931060791,50,0.6694444444444444,0.14166666666666666,0.027581610282262168,0.1308867295583089,0.001,1.0746033092339833,0.027581609785556793,0.6451272716124853,447.99463144938153,0.44147223234176636,0.0001,12.0
16,-0.17491602897644043,0.6117943525314331,-0.16357499361038208,0.5613965034484864,41,0.9277777777777778,0.6666666666666666,0.02541831135749817,0.12710251013437907,0.001,0.18737701574961343,0.025418311667939026,0.3711996078491211,676.6805318196615,0.6871251463890076,0.001,27.0
16,-0.1352948248386383,0.5766507983207703,-0.13829439878463745,0.5387970924377441,57,0.9166666666666666,0.6,0.03620156049728394,0.15977031389872234,0.001,0.28372106701135635,0.03620156024893125,0.4086600144704183,756.0988260904948,0.760709285736084,0.01,19.0
16,0.009538291953504086,-0.058147747069597244,0.014116567373275758,-0.050311189889907834,30,0.07916666666666666,0.0,2.6550295443523343e+25,471526486835.2,0.001,51735455824.88802,2.655029505624934e+25,1.0491354763507843,2.5508513945133752e+26,-0.0900464802980423,0.1,24.0
16,-0.15447933971881866,0.13162805140018463,-0.16402209997177125,0.17802696228027343,0,0.3055555555555556,0.0,0.1286554257074992,0.2883562405904134,0.001,2.444670617580414,0.1286554168909788,0.9142703513304392,159.72394816080728,0.0,1e-05,0.0
16,-0.1631743311882019,0.47335633635520935,-0.14592294692993163,0.48728580474853517,63,0.6611111111111111,0.125,0.03132927219072978,0.14127804438273112,0.001,1.1014976352453232,0.03132927402233084,0.5200618356466293,455.6165237426758,0.4595704674720764,0.0001,6.0
16,-0.09537310153245926,0.4768892228603363,-0.08979099988937378,0.4978123664855957,33,0.9319444444444445,0.6583333333333333,0.025984434286753337,0.12752695083618165,0.001,0.18584361175696054,0.025984433634827536,0.5278265327215195,663.2696685791016,0.3191497325897217,0.001,17.0
16,-0.15167301893234253,0.43172144889831543,-0.14777944087982178,0.41205244064331054,47,0.9486111111111111,0.725,0.02976158857345581,0.13198502063751222,0.001,0.2271562951306502,0.02976158835614721,0.580835243066152,616.9357299804688,0.430038183927536,0.01,13.0
16,,,,,0,0.041666666666666664,0.0,,,0.001,,,,,0.0,0.1,0.0
16,-0.2032286375761032,0.08047040551900864,-0.1995781183242798,0.19599095582962037,1,0.2833333333333333,0.0,0.14732370376586915,0.3127538045247396,0.001,2.403570810953776,0.14732370898127556,0.9475440382957458,201.4668197631836,0.2501872777938843,1e-05,2.0
16,-0.1518620103597641,0.35048946738243103,-0.15109950304031372,0.4284919261932373,98,0.6444444444444445,0.058333333333333334,0.03672893842061361,0.15676663716634115,0.001,1.128749777873357,0.03672893655796846,0.6679431994756063,444.9117482503255,0.11154770106077194,0.0001,15.0
16,-0.1637599915266037,0.3439561128616333,-0.18293414115905762,0.37146706581115724,68,0.9263888888888889,0.65,0.028104539712270102,0.12811732292175293,0.001,0.19707608222961426,0.028104539184520643,0.7210001647472382,748.1282602945963,0.4130319654941559,0.001,23.0
16,-0.15400658547878265,0.350383996963501,-0.13014745712280273,0.33708484172821046,46,0.9402777777777778,0.7,0.030744508902231852,0.14342899322509767,0.001,0.22064957643548647,0.030744508529702824,0.6907682766517004,770.2621663411459,0.6242666244506836,0.01,15.0
16,,,,,0,0.05,0.0,,,0.001,,,,,0.0,0.1,0.0
16,-0.2234768271446228,0.17975866794586182,-0.1994455337524414,0.18158854246139527,16,0.3375,0.008333333333333333,0.22601305643717448,0.3465221087137858,0.001,2.4162954290707908,0.2260130705932776,0.8176594525575638,193.75843938191733,0.42934831976890564,1e-05,4.0
16,-0.12942296266555786,0.2669421434402466,-0.14364349842071533,0.2192844867706299,95,0.6527777777777778,0.06666666666666667,0.03195878267288208,0.1415197213490804,0.001,1.2110670407613118,0.03195878071710467,0.7125751972198486,398.9555206298828,0.11457410454750061,0.0001,12.0
16,-0.14777065813541412,0.43879052996635437,-0.1514764189720154,0.42232933044433596,41,0.9166666666666666,0.6583333333333333,0.030913108587265016,0.13926706314086915,0.001,0.28156736741463345,0.030913107097148895,0.5732234865427017,642.9193115234375,0.6687498688697815,0.001,14.0
16,-0.17311447858810425,0.3646794855594635,-0.15836362838745116,0.5742619514465332,80,0.9333333333333333,0.6416666666666667,0.028646614154179892,0.13437795639038086,0.001,0.20950883626937866,0.028646613626430433,0.7333637326955795,724.3817087809244,0.7313958406448364,0.01,20.0
16,,,,,0,0.034722222222222224,0.0,,,0.001,,,,,0.0,0.1,0.0
16,-0.14928072690963745,0.1725233942270279,-0.1875084400177002,0.1082411527633667,9,0.26805555555555555,0.0,0.21190784772237142,0.33822237650553383,0.001,2.3506975769996643,0.2119078735510508,0.8168609142303467,169.97639656066895,0.2870791554450989,1e-05,11.0
16,-0.19369949400424957,0.35225197672843933,-0.17342650890350342,0.3640768051147461,87,0.6305555555555555,0.06666666666666667,0.031176388263702393,0.14307832717895508,0.001,1.1757067739963531,0.031176391368110973,0.6326236029465994,433.0571568806966,0.5007902383804321,0.0001,15.0
16,-0.17830009758472443,0.2738930284976959,-0.17182574272155762,0.2430190324783325,22,0.9277777777777778,0.6416666666666667,0.02027500073115031,0.11247806549072266,0.001,0.216179092725118,0.02027500094845891,0.7601889222860336,666.6187032063802,0.43121451139450073,0.001,16.0
16,-0.16936703026294708,0.5066841840744019,-0.13518439531326293,0.5256309986114502,54,0.9361111111111111,0.6583333333333333,0.0422772487004598,0.1592981974283854,0.001,0.19301792979240417,0.042277250438928604,0.476854532957077,760.1492614746094,0.528315007686615,0.01,13.0
16,,,,,0,0.03888888888888889,0.0,,,0.001,,,,,0.0,0.1,0.0
16,-0.14311522245407104,0.012188916094601154,-0.15472373962402344,0.08154744505882264,22,0.30972222222222223,0.0,0.1811350186665853,0.33318777084350587,0.001,2.3393318255742392,0.18113502115011215,1.026431639989217,178.0599505106608,0.24530893564224243,1e-05,15.0
16,-0.1056513786315918,0.4575434923171997,-0.13530704975128174,0.32471418380737305,73,0.6652777777777777,0.058333333333333334,0.0198971430460612,0.11484409968058268,0.001,1.10518412788709,0.019897143977383774,0.4966799020767212,447.71011606852215,0.0559116005897522,0.0001,11.0
16,-0.1741008311510086,0.5428633093833923,-0.15930423736572266,0.3146887063980103,55,0.9166666666666666,0.5916666666666667,0.0287010391553243,0.1386085828145345,0.001,0.3056621427337329,0.028701038099825382,0.4165697743495305,712.882314046224,0.018499689176678658,0.001,17.0
16,-0.22041837871074677,0.47285759449005127,-0.20401439666748047,0.501395320892334,51,0.9236111111111112,0.625,0.025028586387634277,0.1263638973236084,0.001,0.25748225053151447,0.025028588405499857,0.47485682368278503,692.3757934570312,0.7418712377548218,0.01,8.0
16,,,,,0,0.05,0.0,,,0.001,,,,,0.0,0.1,0.0
16,-0.15314032137393951,0.14785581827163696,-0.156011962890625,0.12129497528076172,41,0.2861111111111111,0.016666666666666666,0.2664190928141276,0.36330089569091795,0.001,2.5190901358922324,0.26641909529765445,0.8609342674414316,141.6733767191569,0.14588262140750885,1e-05,31.0
16,-0.10250357538461685,0.4143519401550293,-0.13394321203231813,0.34732346534729003,86,0.6666666666666666,0.09166666666666666,0.042365614573160806,0.15614768664042156,0.001,0.9935715148846308,0.04236561370392641,0.7275295704603195,436.74048105875653,-0.025341354310512543,0.0001,15.0
16,-0.13941538333892822,0.36726143956184387,-0.13360297679901123,0.3631812572479248,37,0.9152777777777777,0.6166666666666667,0.022478739420572918,0.12325820922851563,0.001,0.24557112281521162,0.022478740196675062,0.6352924158175787,687.5320281982422,0.649506151676178,0.001,14.0
16,-0.15190477669239044,0.3809131383895874,-0.174081552028656,0.35702009201049806,46,0.9430555555555555,0.7083333333333334,0.022406264146169027,0.12033098538716634,0.001,0.20142457882563272,0.02240626250083248,0.6308163702487946,644.2733408610026,0.5079984664916992,0.01,6.0
16,,,,,0,0.04583333333333333,0.0,,,0.001,,,,,0.0,0.1,0.0
