,x,y,z,Category_prefix,Category
0,-1.4689683,0.11783013,1.4080011,"['*', '*', 'c_1', 'x_1', 'tan', 'x_1']",((0.76*x_1)*tan(x_1))
1,-1.9572378,0.22947505,1.9734871,"['cos', 'cos', '*', 'c_1', 'acos', 'x_1']",cos(cos((0.63*acos(x_1))))
2,-0.4905013,0.10795915,0.5555495,"['min', 'c_1', '-', 'exp', 'x_1', 'x_1']","min(0.74,(exp(x_1)-x_1))"
3,-1.8963212,0.16442943,-3.4361217,"['sin', '/', 'exp', 'abs', 'x_1', 'c_1']",sin((exp(abs(x_1))/0.17))
4,-0.30654478,0.066948205,-0.51241106,"['/', 'x_1', 'max', 'c_1', 'x_1', '<PAD>']","(x_1/max(0.73,x_1))"
5,0.7377432,-0.9812449,-0.4296192,"['*', 'c_1', 'asin', 'x_1', '<PAD>', '<PAD>']",(0.7*asin(x_1))
6,1.0153593,0.04741855,0.1756751,"['exp', '*', 'c_1', 'x_1', '<PAD>', '<PAD>']",exp((0.82*x_1))
7,-1.9446663,-0.86002886,-0.25848836,"['exp', '-', 'x_1', 'c_1', '<PAD>', '<PAD>']",exp((x_1-0.18))
8,0.8393167,1.0747015,-0.36572394,"['**', 'max', 'abs', 'x_1', 'x_1', 'c_1']","(max(abs(x_1),x_1)**0.81)"
9,-1.2147404,-0.9027018,-0.07061517,"['+', 'x_1', 'exp', '+', 'c_1', 'x_1']",(x_1+exp((0.34+x_1)))
10,-0.42759246,0.5455625,-0.011192545,"['-', 'c_1', 'sin', 'cos', 'abs', 'x_1']",(0.33-sin(cos(abs(x_1))))
11,0.79698575,0.4827577,1.051794,"['exp', '+', 'x_1', '/', 'x_1', 'c_1']",exp((x_1+(x_1/0.91)))
12,-0.680753,2.2556987,-0.10812566,"['/', 'x_1', 'c_1', '<PAD>', '<PAD>', '<PAD>']",(x_1/0.1)
13,0.31175196,-1.6474795,0.065086454,"['cos', '*', 'c_1', 'x_1', '<PAD>', '<PAD>']",cos((0.16*x_1))
14,0.21328647,0.6737782,-1.0769609,"['*', 'c_1', 'tan', 'cos', 'x_1', '<PAD>']",(0.74*tan(cos(x_1)))
15,0.12627774,0.6671029,0.94068414,"['asin', 'sin', '*', 'c_1', 'x_1', '<PAD>']",asin(sin((0.72*x_1)))
16,0.4745146,0.5520298,0.46325877,"['acos', '*', 'cos', 'asin', 'x_1', 'c_1']",acos((cos(asin(x_1))*0.04))
17,0.13083507,0.44747967,-0.6164104,"['*', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.34*x_1)
18,-3.7514946,-1.3208284,-0.74162734,"['/', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.37/x_1)
19,0.38948682,-0.85014915,0.43337435,"['log', '**', 'c_1', 'exp', 'exp', 'x_1']",log((0.39**exp(exp(x_1))))
20,-0.3319278,-0.41360632,-0.08509474,"['abs', '*', 'x_1', '-', 'x_1', '1']",abs((x_1*(x_1-1)))
21,-0.3689677,0.8531131,-0.77754414,"['log', 'cos', '*', 'c_1', 'x_1', '<PAD>']",log(cos((0.33*x_1)))
22,-3.0240314,0.529179,-1.236635,"['sin', 'max', '*', 'x_1', '2', 'x_1']","sin(max((x_1*2),x_1))"
23,0.28928405,-0.016102321,1.4681227,"['exp', '*', 'c_1', 'x_1', '<PAD>', '<PAD>']",exp((0.32*x_1))
24,0.33104947,0.52216154,-0.65104425,"['-', 'c_1', 'abs', 'x_1', '<PAD>', '<PAD>']",(0.7-abs(x_1))
25,-0.37702888,-0.17969136,-2.2241251,"['max', '*', 'x_1', '2', 'x_1', '<PAD>']","max((x_1*2),x_1)"
26,-0.13691655,0.097914234,-0.43640295,"['-', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.3-x_1)
27,-0.25052965,0.36854988,0.54563993,"['log', '**', 'c_1', 'acos', 'x_1', '<PAD>']",log((0.5**acos(x_1)))
28,0.7998257,-0.9441822,0.26091963,"['*', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.74*x_1)
29,0.60022247,0.3755274,1.3085998,"['sin', '-', '*', 'x_1', 'x_1', 'c_1']",sin(((x_1*x_1)-0.62))
30,0.45100707,0.6180966,1.7785549,"['+', 'c_1', 'exp', 'x_1', '<PAD>', '<PAD>']",(0.21+exp(x_1))
31,0.5314053,-0.62890327,-0.5922097,"['/', 'c_1', '+', 'x_1', 'asin', 'x_1']",(0.26/(x_1+asin(x_1)))
32,0.108546145,0.7586816,-0.39886042,"['sin', 'max', '**', 'c_1', 'x_1', 'x_1']","sin(max((0.82**x_1),x_1))"
33,1.1680521,0.84011596,-0.6190888,"['*', 'asin', 'x_1', 'max', 'c_1', 'x_1']","(asin(x_1)*max(0.8,x_1))"
34,0.17442124,-0.84879065,-0.6317797,"['abs', 'max', 'c_1', 'x_1', '<PAD>', '<PAD>']","abs(max(1.0,x_1))"
35,-0.20584881,-0.19802141,-0.40984434,"['tan', '+', 'c_1', 'cos', 'x_1', '<PAD>']",tan((0.27+cos(x_1)))
36,-1.3856614,0.23128353,1.6861678,"['exp', '*', 'x_1', '+', 'c_1', 'x_1']",exp((x_1*(0.54+x_1)))
37,-1.0668665,-0.046395198,-0.6181736,"['log', 'abs', '/', 'cos', 'x_1', 'c_1']",log(abs((cos(x_1)/0.14)))
38,1.6029999,0.8344728,1.167035,"['min', 'exp', 'x_1', '+', 'c_1', 'x_1']","min(exp(x_1),(0.44+x_1))"
